parent.pop,elevation.group,elev_m,cwd_mean,pck_mean,ppt_mean,tmn_mean,tmx_mean,cwd_sem,pck_sem,ppt_sem,tmn_sem,tmx_sem
BH,Low,511.4294422,50.214333434331984,0,71.1516191272952,6.131190477240653,19.618095266251338,1.7385807280797705,0,5.272409003331476,0.2785362810205452,0.451460354913388
CC,Low,313,40.70204184850057,0,119.95962475097427,7.395166659355164,19.261375013987223,1.487349761528743,0,7.559119064536072,0.23973449010162934,0.3926854196042807
CP2,High,2244.132886,74.88050032721625,40.285889058642915,77.0402225529775,3.7905000142339205,16.502055536376105,3.0623897383884855,7.949061967451846,8.29746732218117,0.4462646424441563,0.5789140298905786
CP3,High,2266.382201,57.718833441204495,42.63305549621582,74.27300033660399,3.215000002313819,15.70566664205657,2.1266075595830425,8.153488865135403,7.908754446322022,0.4572527566366196,0.5730139714657886
DPR,Mid,1018.591893,30.33013327519099,2.8932000328041614,96.41893339154001,8.973833333949248,21.924166673024494,0.955549697452563,0.9484938309167483,7.693121275204272,0.3082564428161123,0.42761551111781926
FR,Mid,787,66.70833321677314,4.868185278994066,56.185999921302276,6.966777783245952,22.78944441654064,2.177709769932015,1.3125255552772668,5.1162185764829955,0.2888648828900461,0.5010400904472279
IH,Low,454.1298385,40.32226680914561,0.23243332862854005,100.99856652752807,8.04223333761096,21.23233330408732,1.6823557934173954,0.154501984468691,6.865145290972009,0.30352562375862463,0.46374316484515143
LV1,High,2593.416641,65.09379990895589,27.65886693318685,75.55226671359192,2.1952000121896464,16.352199951621394,2.0746552890554217,6.362657022648312,9.113504375555939,0.3793108416555084,0.5303500658675904
LV3,High,2353.550747,80.84806671142579,25.979533411661784,75.10019995347908,2.206600014132758,16.28293333629767,2.860896386937361,6.171671210414377,9.076763723871498,0.3777462274665624,0.5293704926842605
LVTR1,High,2741.38982,73.27306685129801,28.643266347249348,78.80473378740251,1.8985333228856325,16.22366664821903,2.6601030837474413,6.716902837017487,9.48644606378851,0.3742588494729991,0.5286204512775143
SC,Low,421.5178299,42.10823811803545,0.03604761986505418,94.58052386676981,6.3219047644308635,18.89971426100958,1.6819982990820106,0.036047619865054184,6.2455207617656585,0.2435013645307529,0.43832182357482646
SQ1,Mid,1921.036585,90.14754168987274,8.349750049908955,45.316749876000294,6.44237497006543,18.92874999245008,2.6622715235391956,1.9626287017671935,4.833064063543802,0.36002990455397227,0.4354288054694808
SQ2,Mid,1934.45122,68.70576194581531,9.421190477552868,47.07709528373643,6.631428558468109,19.213285695938836,2.0563122016725766,2.252366981243402,5.548278028480786,0.4011145647936534,0.4811339723190017
SQ3,High,2373.170732,77.46695252373105,18.696095264525642,51.27066686896696,4.609904760938315,17.045666666257947,2.1417516600860496,3.942838114047659,6.0338997959215694,0.39958297385164243,0.46053019063948414
TM2,Low,379.1526973,30.187208253641924,0,134.08295846749098,7.076083335280418,18.793499998251598,2.0303554205223397,0,8.456445048373137,0.24092152610123674,0.39111925989775137
WL1,Mid,1613.837245,68.27037495772043,11.37587500611941,66.48254145300793,6.750125011910374,20.540374972422917,1.9698195746018177,2.7582448587318105,6.354654137133727,0.32657612408094744,0.46321645500607034
WL2,High,2020.115818,63.84504768734887,25.187904473713466,66.98361878349844,5.431095243263103,18.073142866861254,2.2330042949589317,5.3842108658358985,7.120336337690624,0.38891616340145085,0.5013357135488424
WR,Mid,1158,52.67540732975359,7.3576296347158925,93.1950371356543,8.887074051300685,21.5875185419012,2.2452693083055344,1.7947365126997423,8.410254205826185,0.3224192244535927,0.4427793570434314
WV,Mid,748.8570558,54.5192222363419,7.486740746321502,61.60585199050881,6.6521851878958165,22.254148108870893,2.7164629938505818,1.9385567644426518,5.406674982715727,0.27783599562000555,0.5217060125159277
YO11,High,2872.295032,76.35893337249756,6.5502666695912675,30.533199904585878,1.7534000018735727,15.677999991377195,2.6410394955897867,2.0083778961448195,3.25309080097226,0.4140366996304663,0.48721829089594654
YO4,High,2157.57391,66.19752393450055,20.453618964694794,57.004714505578434,5.519000007345208,17.903142864363534,1.6522220893169102,4.537087861121648,6.413676423518103,0.3874228104058074,0.47326558796973506
YO7,High,2469.978665,64.8394996854994,40.01227791905403,69.86561116660013,1.9382777771602073,15.594500050279828,1.9832751647969806,7.843432212998542,8.043172069788634,0.44500642600547224,0.5331533510540502
YO8,High,2590.97836,80.507500161065,42.22283305592007,69.57749995418514,1.4395555576309562,15.14677767554919,2.981337127991254,8.10768702556379,8.001774286974399,0.4491737984431012,0.5341062060638267
