parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.2984790847569213,0.31249407376051186
CC,Low,313,0.3409024038886668,0.322217099255528
CP2,High,2244.132886,0.6432478790456645,0.6261512133894671
CP3,High,2266.382201,0.6537263971884391,0.6396967154669734
DPR,Mid,1018.591893,0.5073775174086423,0.46850992206065745
FR,Mid,787,0.45134083030669764,0.49040013816528405
IH,Low,454.1298385,0.3340697884894695,0.3501120537322143
LV1,High,2593.416641,0.7869308821916724,0.7628362984244678
LV3,High,2353.550747,0.7803442380848055,0.7522843837454957
LVTR1,High,2741.38982,0.798509310467101,0.7742933013477918
SC,Low,421.5178299,0.25805488802228366,0.319379282958433
SQ1,Mid,1921.036585,0.5064446845388074,0.5207418677168195
SQ2,Mid,1934.45122,0.4930725438707434,0.5156106873369569
SQ3,High,2373.170732,0.5491310115200754,0.5902076521012795
TM2,Low,379.1526973,0.37723810562937204,0.34313513984562527
WL1,Mid,1613.837245,0.5299830252133966,0.5059990822527851
WL2,High,2020.115818,0.6363725380516488,0.5927112527946807
WR,Mid,1158,0.5890782108129952,0.5211964732362379
WV,Mid,748.8570558,0.4748900122623673,0.5074532827770417
YO11,High,2872.295032,0.5927139200635797,0.5880641956535195
YO4,High,2157.57391,0.5868075324006529,0.5501739264430641
YO7,High,2469.978665,0.5726647328809995,0.5791239078034959
YO8,High,2590.97836,0.5833134785221115,0.5871800296457458
