parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,-5.14791666666666,4.037250000000007,1.1858749999999993,-1.994416666666666,-0.4042708333333316,-3.1802916666666654,1.3122872135790065,-3.554666666666666,-5.163500000000001,1.0921666666666674,-164.14999999999998,-9.974219680355645,-5.7203333333333335,-25.63233333333332
CC,Low,313,-50.92079166666666,12.153416666666672,-0.06495833333333323,-2.1014166666666654,-1.0831874999999993,-2.036458333333332,1.316526154629706,-2.1566666666666627,-5.626833333333332,0.0070000000000014495,-530.3330000000001,-6.955403512203816,-12.711,-145.36099999999996
CP2,High,2244.132886,-7.554933333333338,-25.016,2.305133333333333,-0.8122000000000007,0.7464666666666684,-3.1173333333333346,0.8578796237031039,-0.3093333333333348,-0.7243333333333339,4.993500000000001,23.70866666666666,-29.516401645969736,-14.170666666666667,-50.21066666666667
CP3,High,2266.382201,-5.655600000000007,-5.581266666666664,2.7512,0.011600000000001387,1.3813999999999993,-2.7395999999999976,0.8527082621744118,-0.012666666666667936,-0.10150000000000015,5.736666666666668,33.20533333333333,-27.939532831642595,-15.25,-42.51333333333332
DPR,Mid,1018.591893,-21.00977703703704,24.65085185185186,-1.7244074074074085,-5.382037037037037,-3.5532222222222245,-3.6576296296296285,0.26940628875700146,-4.859333333333332,-4.3685,-2.459833333333332,-373.53799333333336,-41.655260471045196,-2.3946666666666667,-158.20099333333334
FR,Mid,787,3.7069629629629617,-33.0817037037037,0.13970370370370322,-6.134333333333334,-2.997314814814814,-6.274037037037036,0.04856912926618673,-7.774333333333331,-2.734166666666667,-1.8055833333333347,-151.0873333333334,-38.402731400331774,-2.5143333333333335,-66.99066666666667
IH,Low,454.1298385,-36.45306599999999,13.126633333333338,-0.7811666666666675,-4.023599999999998,-2.402383333333333,-3.2424333333333344,-0.32831782400925213,-6.494666666666667,-4.303,-3.201166666666662,-610.4639933333334,-26.056629511799855,-1.561,-165.9273266666667
LV1,High,2593.416641,-65.37299666666667,-0.77933333333332655,7.4576666666666664,2.9463333333333335,5.202,-4.511333333333335,0.9299010264515291,-0.7880000000000003,2.3671666666666664,8.7665,-138.52532000000002,-21.72892547649259,-24.55366666666666,-156.48465333333334
LV3,High,2353.550747,-63.527664999999985,10.85691666666667,7.4935,2.9383333333333344,5.215916666666667,-4.555166666666667,0.9458635977801579,-0.7929999999999993,2.3679999999999994,8.794500000000001,-131.14399333333336,-21.670202739312813,-24.058666666666664,-152.0489933333333
LVTR1,High,2741.38982,-71.05166333333334,-5.700916666666664,7.640166666666666,3.1089166666666674,5.3745416666666666,-4.53125,0.9725325974907051,-0.706666666666667,2.199,8.975000000000001,-161.2399866666667,-21.61597737312617,-26.34633333333333,-170.04832000000002
SC,Low,421.5178299,-23.53933333333333,9.594750000000005,0.9339999999999993,-1.9157916666666672,-0.4908958333333313,-2.8497916666666665,1.4875702584860173,-2.843,-5.390833333333333,0.5897500000000022,-311.28133333333335,-2.837531621679929,-8.015333333333334,-57.39433333333332
SQ1,Mid,1921.036585,8.133095714285716,-31.156571428571418,1.2961428571428568,-0.886571428571429,0.20478571428571435,-2.1827142857142867,0.15664521044659718,-2.5450000000000017,-0.07966666666666722,4.612166666666667,-4.5516633333334084,-42.47579066844982,-7.84,-33.02432999999999
SQ2,Mid,1934.45122,6.348619047619046,-7.957333333333331,1.2379999999999995,-0.8558571428571433,0.19107142857142811,-2.093857142857143,0.26205307761564534,-2.274666666666665,-0.1626666666666674,4.523166666666667,-17.043000000000006,-43.1184013715107,-8.551666666666666,-39.39599999999999
SQ3,High,2373.170732,-7.078888333333339,-14.562611111111103,3.3477222222222216,1.8400555555555567,2.5938888888888894,-1.5076666666666654,0.011841364123031717,-1.4706666666666628,1.6889999999999996,6.552000000000001,-42.47333000000003,-34.830450372342895,-9.253,-58.93666333333334
TM2,Low,379.1526973,-64.42570791666667,23.31895833333334,0.32633333333333336,-1.648374999999998,-0.6610208333333336,-1.9747083333333322,1.3468692182117321,-1.9499999999999993,-5.099500000000001,0.1793333333333358,-638.37233,-6.775690202671967,-14.666333333333334,-182.60099666666665
WL1,Mid,1613.837245,-9.914666190476183,-10.297476190476182,0.7257619047619048,-3.1000476190476185,-1.1871428571428577,-3.8258095238095216,-0.08078181093934411,-4.568999999999999,-1.7710000000000008,0.629194444444444,-130.8859966666667,-35.46017182596515,-4.04,-80.74832999999998
WL2,High,2020.115818,-14.915428095238099,-4.664904761904758,2.3849047619047616,-0.3041428571428568,1.0403809523809535,-2.689047619047617,0.02667401809531622,-3.4093333333333327,0.8991666666666664,3.8855000000000004,-165.89133000000004,-29.32212526372959,-9.254333333333332,-90.35933
WR,Mid,1158,-27.822706666666676,4.503750000000004,-1.2996250000000007,-4.975291666666671,-3.1374583333333312,-3.6756666666666664,0.21435919870531706,-4.526,-3.218,-1.6999166666666667,-345.54832,-46.68785635223334,-3.139666666666667,-184.89765666666668
WV,Mid,748.8570558,-0.5609999999999999,-3.237124999999999,0.20554166666666607,-5.623374999999996,-2.708916666666669,-5.8289166666666645,-0.3933461894383461,-7.509,-2.0376666666666674,-0.7668333333333344,-127.4546666666667,-41.497668742761206,-7.001333333333333,-76.14166666666662
YO11,High,2872.295032,19.3654,-17.163599999999995,6.638933333333333,2.2148666666666674,4.4269,-4.424066666666667,0.8292803349972564,-1.707333333333338,2.1549999999999994,10.4875,158.31033333333335,-17.839486273950428,-18.241666666666667,39.67966666666669
YO4,High,2157.57391,-2.7252376190476184,-7.318142857142853,2.355333333333333,-0.04390476190476278,1.1557142857142857,-2.399238095238095,0.08824194144712472,-3.126999999999999,0.6711666666666662,4.0844166666666695,-80.55999666666668,-35.85687661952733,-6.3036666666666665,-55.342330000000004
YO7,High,2469.978665,6.233400000000003,-13.195466666666668,3.858733333333333,0.33646666666666647,2.0976,-3.522266666666667,0.8939050330236284,-0.9699999999999989,0.6419999999999995,6.727083333333335,92.65033333333332,-33.972780042354486,-12.57,-12.878666666666618
YO8,High,2590.97836,6.59406666666667,-31.702199999999998,4.548533333333333,0.7270666666666656,2.6378000000000004,-3.821466666666666,0.8859284419977671,-1.274000000000001,1.1971666666666665,7.498833333333334,94.45366666666666,-32.85027399379973,-12.987,-10.806333333333328
